phase_id,anchor,s,local_line_distance_m,geodesic_plus_height_m,difference_m,absolute_relative_difference,loss_difference_db
IV-PH-0005,Q3-R-002,1.0,756.2807656933365,756.2913386970346,-0.010573003698027605,1.3980067147460857e-05,-0.00012143016917867662
IV-PH-0005,Q3-R-003,1.0,7888.4166252670475,7887.875633703801,0.5409915632462798,6.85852044794796e-05,0.0005957030889374723
IV-PH-0005,Q3-R-004,1.0,9607.849766131354,9606.905538892732,0.9442272386222612,9.828630403407615e-05,0.0008536620388161831
IV-PH-0006,G01,0.0,5433.233886263687,5433.299279260325,-0.06539299663836573,1.2035596288240568e-05,-0.00010454049019298169
IV-PH-0006,Q3-R-001,0.0,7853.843202889573,7853.594944819894,0.24825806967874087,3.1610755510441484e-05,0.0002745631941879437
IV-PH-0006,Q3-R-002,0.0,756.2807656933365,756.2913386970346,-0.010573003698027605,1.3980067147460857e-05,-0.00012143016917867662
IV-PH-0006,Q3-R-003,0.0,7888.4166252670475,7887.875633703801,0.5409915632462798,6.85852044794796e-05,0.0005957030889374723
IV-PH-0006,Q3-R-004,0.0,9607.849766131354,9606.905538892732,0.9442272386222612,9.828630403407615e-05,0.0008536620388161831
IV-PH-0006,G01,0.5,4914.0755282859245,4913.910394413459,0.16513387246595812,3.360538943764543e-05,0.00029188779942542864
IV-PH-0006,Q3-R-001,0.5,7041.355478836275,7040.786846831214,0.5686320050617724,8.076256495645678e-05,0.0007014664003665053
IV-PH-0006,Q3-R-002,0.5,1183.5606115840603,1183.5610601694782,-0.0004485854178710724,3.790133293223063e-07,-3.2920685733239287e-06
IV-PH-0006,Q3-R-003,0.5,6391.5874152175975,6390.94042403983,0.6469911777676316,0.00010123567657334798,0.0008792774077795874
IV-PH-0006,Q3-R-004,0.5,8432.051532523856,8430.781081387178,1.2704511366773659,0.00015069198505013597,0.0013087953414798496
IV-PH-0006,G01,1.0,4864.839612986701,4864.546062027364,0.293550959336244,6.03449850393446e-05,0.000524134065990546
IV-PH-0006,Q3-R-001,1.0,6509.1427416082915,6508.331840267656,0.8109013406356098,0.0001245943446857592,0.0010821453142737276
IV-PH-0006,Q3-R-002,1.0,2668.34952237524,2668.3442661990935,0.005256176146758662,1.969826837316532e-06,1.7109681664400265e-05
IV-PH-0006,Q3-R-003,1.0,4936.40363488216,4935.659171392509,0.7444634896510252,0.0001508336503391477,0.0013100256450601642
IV-PH-0006,Q3-R-004,1.0,7401.258493881761,7399.696795547773,1.561698333987806,0.00021104896283418586,0.0018329545846267365
IV-PH-0007,G01,0.0,4864.839612986701,4864.546062027364,0.293550959336244,6.03449850393446e-05,0.000524134065990546
IV-PH-0007,Q3-R-001,0.0,6509.1427416082915,6508.331840267656,0.8109013406356098,0.0001245943446857592,0.0010821453142737276
IV-PH-0007,Q3-R-002,0.0,2668.34952237524,2668.3442661990935,0.005256176146758662,1.969826837316532e-06,1.7109681664400265e-05
IV-PH-0007,Q3-R-003,0.0,4936.40363488216,4935.659171392509,0.7444634896510252,0.0001508336503391477,0.0013100256450601642
IV-PH-0007,Q3-R-004,0.0,7401.258493881761,7399.696795547773,1.561698333987806,0.00021104896283418586,0.0018329545846267365
IV-PH-0007,G01,0.5,4858.4877322954435,4858.193797530793,0.2939347646506576,6.050288994235919e-05,0.0005255055276815985
IV-PH-0007,Q3-R-001,0.5,6507.249063458727,6506.4379261078275,0.8111373508991164,0.00012466688533895558,0.0010827753158647484
IV-PH-0007,Q3-R-002,0.5,2671.7294444249023,2671.724194898194,0.0052495267082122155,1.964846041457602e-06,1.706641910516509e-05
IV-PH-0007,Q3-R-003,0.5,4934.261580851604,4933.5167941278305,0.744786723773359,0.00015096466777205444,0.0013111634763252392
IV-PH-0007,Q3-R-004,0.5,7402.944144579897,7401.382801919709,1.56134266018762,0.00021095283164960092,0.0018321197759121886
IV-PH-0007,G01,1.0,4853.825677095014,4853.531459991603,0.2942171034110288,6.061918127786027e-05,0.0005265155602185658
IV-PH-0007,Q3-R-001,1.0,6506.621518969567,6505.810303377105,0.8112155924618492,0.00012469093850473242,0.0010829842129622407
IV-PH-0007,Q3-R-002,1.0,2678.183964710907,2678.178727835773,0.005236875133959984,1.9553867258858728e-06,1.698425669526735e-05
IV-PH-0007,Q3-R-003,1.0,4933.789205472741,4933.044347430146,0.7448580425943874,0.00015099358329961473,0.001311414595492421
IV-PH-0007,Q3-R-004,1.0,7405.74228529885,7404.181532691275,1.5607526075755231,0.00021079340109158833,0.001830735271634426
IV-PH-0008,G01,0.0,4853.825677095014,4853.531459991603,0.2942171034110288,6.061918127786027e-05,0.0005265155602185658
IV-PH-0008,Q3-R-001,0.0,6506.621518969567,6505.810303377105,0.8112155924618492,0.00012469093850473242,0.0010829842129622407
IV-PH-0008,Q3-R-002,0.0,2678.183964710907,2678.178727835773,0.005236875133959984,1.9553867258858728e-06,1.698425669526735e-05
IV-PH-0008,Q3-R-003,0.0,4933.789205472741,4933.044347430146,0.7448580425943874,0.00015099358329961473,0.001311414595492421
IV-PH-0008,Q3-R-004,0.0,7405.74228529885,7404.181532691275,1.5607526075755231,0.00021079340109158833,0.001830735271634426
IV-PH-0008,G01,0.5,4853.825677095014,4853.531459991603,0.2942171034110288,6.061918127786027e-05,0.0005265155602185658
