check,pass,detail
Chinese_title_F010,True,
figure_F010.png,True,
figure_F010.svg,True,
figure_F010.pdf,True,
figure_source_F010results/q1/flight_energy_frontier.csv,True,
Chinese_title_F011,True,
figure_F011.png,True,
figure_F011.svg,True,
figure_F011.pdf,True,
figure_source_F011results/quality/node_dem_comparison.csv,True,
Chinese_title_F012,True,
figure_F012.png,True,
figure_F012.svg,True,
figure_F012.pdf,True,
figure_source_F012results/q1/service_summary.csv,True,
Chinese_title_F013,True,
figure_F013.png,True,
figure_F013.svg,True,
figure_F013.pdf,True,
figure_source_F013results/q1/route_dem_cells.csv,True,
figure_source_F013results/q1/route_geometry.csv,True,
Chinese_title_F014,True,
figure_F014.png,True,
figure_F014.svg,True,
figure_F014.pdf,True,
figure_source_F014results/closure/energy_curves_S001.csv,True,
Chinese_title_F015,True,
figure_F015.png,True,
figure_F015.svg,True,
figure_F015.pdf,True,
figure_source_F015results/q1/route_dem_cells.csv,True,
figure_source_F015results/q1/route_geometry.csv,True,
Chinese_title_F016,True,
figure_F016.png,True,
figure_F016.svg,True,
figure_F016.pdf,True,
figure_source_F016results/closure/energy_curves_S002.csv,True,
Chinese_title_F017,True,
figure_F017.png,True,
figure_F017.svg,True,
figure_F017.pdf,True,
figure_source_F017results/q1/route_dem_cells.csv,True,
figure_source_F017results/q1/route_geometry.csv,True,
Chinese_title_F018,True,
figure_F018.png,True,
figure_F018.svg,True,
figure_F018.pdf,True,
figure_source_F018results/closure/energy_curves_S003.csv,True,
Chinese_title_F019,True,
figure_F019.png,True,
figure_F019.svg,True,
figure_F019.pdf,True,
figure_source_F019results/q1/route_dem_cells.csv,True,
figure_source_F019results/q1/route_geometry.csv,True,
Chinese_title_F020,True,
figure_F020.png,True,
figure_F020.svg,True,
figure_F020.pdf,True,
figure_source_F020results/closure/energy_curves_S004.csv,True,
Chinese_title_F021,True,
figure_F021.png,True,
figure_F021.svg,True,
figure_F021.pdf,True,
figure_source_F021results/q1/route_dem_cells.csv,True,
figure_source_F021results/q1/route_geometry.csv,True,
Chinese_title_F022,True,
figure_F022.png,True,
figure_F022.svg,True,
figure_F022.pdf,True,
figure_source_F022results/closure/energy_curves_S005.csv,True,
Chinese_title_F023,True,
figure_F023.png,True,
figure_F023.svg,True,
figure_F023.pdf,True,
figure_source_F023results/q1/route_dem_cells.csv,True,
figure_source_F023results/q1/route_geometry.csv,True,
Chinese_title_F024,True,
figure_F024.png,True,
figure_F024.svg,True,
figure_F024.pdf,True,
figure_source_F024results/closure/energy_curves_S006.csv,True,
Chinese_title_F025,True,
figure_F025.png,True,
figure_F025.svg,True,
figure_F025.pdf,True,
figure_source_F025results/q1/route_dem_cells.csv,True,
figure_source_F025results/q1/route_geometry.csv,True,
Chinese_title_F026,True,
figure_F026.png,True,
figure_F026.svg,True,
figure_F026.pdf,True,
figure_source_F026results/closure/energy_curves_S007.csv,True,
Chinese_title_F027,True,
figure_F027.png,True,
figure_F027.svg,True,
figure_F027.pdf,True,
figure_source_F027results/q1/route_dem_cells.csv,True,
figure_source_F027results/q1/route_geometry.csv,True,
Chinese_title_F028,True,
figure_F028.png,True,
figure_F028.svg,True,
figure_F028.pdf,True,
figure_source_F028results/q1/route_dem_cells.csv,True,
