K,group_id,source_communication_row,transport_trip_id,source_relay_trip_id,local_relay_trip_id,start_s,end_s,mode
3,K3-G1,290,Q3-T-004,,,908.5730843719844,908.5730843719844,直连
3,K3-G1,291,Q3-T-004,,,908.5730843719844,909.8155904296625,直连
3,K3-G1,292,Q3-T-004,,,909.8155904296625,909.8155904296625,直连
3,K3-G1,293,Q3-T-004,,,909.8155904296625,912.0637394791872,直连
3,K3-G1,294,Q3-T-004,,,912.0637394791872,912.0637394791872,直连
3,K3-G1,295,Q3-T-004,,,912.0637394791872,917.0386837008028,直连
3,K3-G1,296,Q3-T-004,,,917.0386837008028,917.0386837008028,直连
3,K3-G1,297,Q3-T-004,,,917.0386837008028,938.2586210744583,直连
3,K3-G1,298,Q3-T-004,,,938.2586210744583,938.2586210744583,直连
3,K3-G1,299,Q3-T-004,,,938.2586210744583,993.5823775370045,直连
3,K3-G1,300,Q3-T-004,,,993.5823775370045,993.5823775370045,直连
3,K3-G1,301,Q3-T-004,,,993.5823775370045,1005.910512091473,直连
3,K3-G1,302,Q3-T-004,,,1005.910512091473,1005.910512091473,直连
3,K3-G1,303,Q3-T-004,,,1005.910512091473,1058.7862256287979,直连
3,K3-G1,304,Q3-T-004,,,1058.7862256287979,1058.7862256287979,直连
3,K3-G1,305,Q3-T-004,,,1058.7862256287979,1192.7568580343334,直连
3,K3-G1,306,Q3-T-004,,,1192.7568580343334,1192.7568580343334,直连
3,K3-G1,307,Q3-T-004,,,1192.7568580343334,1217.3016592915526,直连
3,K3-G1,308,Q3-T-004,,,1217.3016592915526,1217.3016592915526,直连
3,K3-G1,309,Q3-T-004,,,1217.3016592915526,1225.977956606348,直连
3,K3-G1,310,Q3-T-004,,,1225.977956606348,1225.977956606348,直连
3,K3-G1,311,Q3-T-004,,,1225.977956606348,1228.476241845006,直连
3,K3-G1,312,Q3-T-004,,,1228.476241845006,1228.476241845006,直连
3,K3-G1,313,Q3-T-004,,,1228.476241845006,1238.2102319834157,直连
3,K3-G1,314,Q3-T-004,,,1238.2102319834157,1238.2102319834157,直连
