service_id,model_id,payload_kg,energy_fraction_percent
S015,C,53.33333333333333,58.72024846937654
S015,C,54.0,58.99124356522834
S015,C,54.666666666666664,59.26793983123718
S015,C,55.33333333333333,59.55050355559655
S015,C,56.0,59.83910803903425
S015,C,56.666666666666664,60.1339339531697
S015,C,57.33333333333333,60.43516972167438
S015,C,58.0,60.7430119259147
S015,C,58.666666666666664,61.057665736902756
S015,C,59.33333333333333,61.37934537553752
S015,C,60.0,61.708274603295244
S015,C,60.666666666666664,62.04468724571854
S015,C,61.33333333333333,62.388827751265254
S015,C,62.0,62.74095178831068
S015,C,62.666666666666664,63.101326883353316
S015,C,63.33333333333333,63.47023310375752
S015,C,64.0,63.84796378867955
S015,C,64.66666666666666,64.23482633216983
S015,C,65.33333333333333,64.63114302282882
S015,C,66.0,65.03725194481838
S015,C,66.66666666666666,65.45350794550522
S015,C,67.33333333333333,65.88028367553741
S015,C,68.0,66.31797070774132
S015,C,68.66666666666666,66.76698074187934
S015,C,69.33333333333333,67.22774690303677
S015,C,70.0,67.70072514222247
S015,C,70.66666666666666,68.18639574867815
S015,C,71.33333333333333,68.68526498441608
S015,C,72.0,69.19786685265073
S015,C,72.66666666666666,69.72476501308327
S015,C,73.33333333333333,70.26655485845001
S015,C,74.0,70.82386576838708
S015,C,74.66666666666666,71.39736355851653
S015,C,75.33333333333333,71.98775314475576
S015,C,76.0,72.59578144523095
S015,C,76.66666666666666,73.22224054487424
S015,C,77.33333333333333,73.8679711508583
S015,C,78.0,74.5338663705234
S015,C,78.66666666666666,75.2208758474533
S015,C,79.33333333333333,75.9300102959345
S015,C,80.0,76.66234647928333
