check,pass,details
Q3-T-018/known_model,True,
Q3-T-018/compatible_drone,True,
Q3-T-018/compatible_battery,True,
Q3-T-018/valid_stops,True,
Q3-T-018/has_boxes,True,
Q3-T-018/known_boxes,True,
Q3-T-018/stop_box_matching,True,
Q3-T-018/capacity_mass,True,
Q3-T-018/capacity_volume,True,
Q3-T-018/finite_times_energy,True,
Q3-T-018/nonnegative_start,True,
Q3-T-018/leg1_nonnegative_altitudes,True,
Q3-T-018/leg1_mass_range,True,
Q3-T-018/S005_nonempty_delivery,True,
S005-MED-01/service_id,True,
S005-MED-01/handoff_completed_time,True,9.094947017729282e-13
S005-MED-01/during_trip,True,
