site_id,row,col,lon,lat,alt,agl,ground,route_H,gateway_distance,backhaul_margin,covered_search_points,travel_score_s
GRID-914-846,914,846,109.26777777777778,22.97083333333333,538.3357238769531,282.21221923828125,256.1235046386719,538.3357238769531,5634.099683524211,0.9089873519551901,35,990.7507967314507
GRID-914-850,914,850,109.2688888888889,22.97083333333333,544.1425018310547,300.0,244.1425018310547,546.1428833007812,5711.277374360165,0.790782931093986,34,1005.5953318401444
GRID-914-854,914,854,109.27000000000001,22.97083333333333,514.2541198730469,286.39109802246094,227.86302185058594,514.2541198730469,5789.6680355949675,0.6758946731633841,32,997.4456413386063
GRID-914-858,914,858,109.27111111111111,22.97083333333333,519.2008666992188,238.2432861328125,280.95758056640625,519.2008666992188,5869.223065309159,0.557381095401766,32,1010.9385809490989
GRID-914-862,914,862,109.27222222222223,22.97083333333333,520.2463989257812,212.97451782226562,307.2718811035156,520.2463989257812,5949.895757973439,0.43919466358003945,32,1022.3048337698309
GRID-914-866,914,866,109.27333333333334,22.97083333333333,535.5921020507812,209.37103271484375,326.2210693359375,535.5921020507812,6031.641267806546,0.31975684884622524,32,1042.1558952371618
GRID-914-870,914,870,109.27444444444446,22.97083333333333,543.8921813964844,210.95556640625,332.9366149902344,543.8921813964844,6114.416566489611,0.20111028247282547,32,1058.0343146798973
GRID-918-754,918,754,109.24222222222222,22.96972222222222,433.06768798828125,300.0,133.06768798828125,522.83203125,4450.8504380172035,2.9591639147188573,2,823.9404099647938
GRID-918-782,918,782,109.25,22.96972222222222,418.78636932373047,300.0,118.78636932373047,559.7134399414062,4722.861445652611,2.447582365469117,1,881.7226993861684
GRID-918-786,918,786,109.25111111111111,22.96972222222222,422.96324920654297,300.0,122.96324920654297,560.7272338867188,4771.344317461116,2.358746778870369,5,888.7784620954014
GRID-918-790,918,790,109.25222222222223,22.96972222222222,428.28314208984375,300.0,128.28314208984375,557.4225769042969,4822.031717244287,2.2667327933298367,9,893.6090654934114
GRID-918-794,918,794,109.25333333333334,22.96972222222222,447.9500732421875,300.0,147.9500732421875,552.5706787109375,4874.85487925887,2.1703572832428932,19,897.8218798158962
