from_id,to_id,distance_m,terrain_max_m,cruise_altitude_m,origin_work_altitude_m,destination_work_altitude_m,climb_m,descent_m,crossed_cells
S011,S005,2802.712805304762,297.5489196777344,347.5489196777344,212.1,195.0,135.44891967773438,152.54891967773438,117
S005,S012,5622.613282747877,313.5632019042969,363.5632019042969,195.0,279.8,168.56320190429688,83.76320190429686,204
S012,S005,5622.613282747877,313.5632019042969,363.5632019042969,279.8,195.0,83.76320190429686,168.56320190429688,204
S005,S013,5214.490976768315,324.4444580078125,374.4444580078125,195.0,351.7,179.4444580078125,22.74445800781251,246
S013,S005,5214.490976768315,324.4444580078125,374.4444580078125,351.7,195.0,22.74445800781251,179.4444580078125,246
S005,S014,7995.561184763734,552.8875122070312,602.8875122070312,195.0,351.0,407.88751220703125,251.88751220703125,383
S014,S005,7995.561184763734,552.8875122070312,602.8875122070312,351.0,195.0,251.88751220703125,407.88751220703125,383
S005,S015,3754.922176202236,568.6133422851562,618.6133422851562,195.0,474.5,423.61334228515625,144.11334228515625,154
S015,S005,3754.922176202236,568.6133422851562,618.6133422851562,474.5,195.0,144.11334228515625,423.61334228515625,154
S006,S007,2507.441750771155,540.361328125,590.361328125,314.8,348.5,275.561328125,241.861328125,104
S007,S006,2507.441750771155,540.361328125,590.361328125,348.5,314.8,241.861328125,275.561328125,104
S006,S008,8061.4072303585235,517.8421020507812,567.8421020507812,314.8,270.9,253.04210205078124,296.9421020507813,306
S008,S006,8061.4072303585235,517.8421020507812,567.8421020507812,270.9,314.8,296.9421020507813,253.04210205078124,306
S006,S009,7669.050273431776,341.0712890625,391.0712890625,314.8,230.0,76.27128906249999,161.0712890625,368
S009,S006,7669.050273431776,341.0712890625,391.0712890625,230.0,314.8,161.0712890625,76.27128906249999,368
S006,S010,7921.2893812418815,383.2227783203125,433.2227783203125,314.8,351.6,118.42277832031249,81.62277832031248,318
S010,S006,7921.2893812418815,383.2227783203125,433.2227783203125,351.6,314.8,81.62277832031248,118.42277832031249,318
S006,S011,3409.721332815337,350.46759033203125,400.46759033203125,314.8,212.1,85.66759033203124,188.36759033203126,162
S011,S006,3409.721332815337,350.46759033203125,400.46759033203125,212.1,314.8,188.36759033203126,85.66759033203124,162
S006,S012,9989.796041888643,385.3490295410156,435.3490295410156,314.8,279.8,120.54902954101561,155.5490295410156,469
S012,S006,9989.796041888643,385.3490295410156,435.3490295410156,279.8,314.8,155.5490295410156,120.54902954101561,469
S006,S013,7782.691508979744,344.1709289550781,394.1709289550781,314.8,351.7,79.37092895507811,42.470928955078136,343
S013,S006,7782.691508979744,344.1709289550781,394.1709289550781,351.7,314.8,42.470928955078136,79.37092895507811,343
S006,S014,8596.786771800902,556.662109375,606.662109375,314.8,351.0,291.862109375,255.662109375,312
S014,S006,8596.786771800902,556.662109375,606.662109375,351.0,314.8,255.662109375,291.862109375,312
S006,S015,4684.460846069296,601.2601318359375,651.2601318359375,314.8,474.5,336.4601318359375,176.7601318359375,177
