from_id,to_id,row,col,fraction,dem_m
O01,S002,616,786,0.7273449991947272,164.06036376953125
O01,S002,615,786,0.731838505538839,166.38784790039062
O01,S002,614,786,0.7363320118829507,166.4222869873047
O01,S002,614,787,0.7363954050872842,168.42550659179688
O01,S002,613,787,0.7408255182270626,165.76380920410156
O01,S002,612,787,0.7453190245711744,164.10714721679688
O01,S002,612,788,0.7464234113030394,164.17503356933594
O01,S002,611,788,0.7498125309152861,172.95111083984375
O01,S002,610,788,0.7543060372593979,191.4077606201172
O01,S002,610,789,0.7564514175187946,191.84129333496094
O01,S002,609,789,0.7587995436035097,205.2860107421875
O01,S002,608,789,0.7632930499476215,212.69346618652344
O01,S002,608,790,0.7664794237345498,210.9479217529297
O01,S002,607,790,0.7677865562917332,205.7431182861328
O01,S002,606,790,0.772280062635845,190.2815399169922
O01,S002,606,791,0.7765074299503051,172.7207489013672
O01,S002,605,791,0.7767735689799569,169.79415893554688
O01,S002,604,791,0.7812670753240686,170.9226531982422
O01,S002,603,791,0.7857605816681804,171.540283203125
O01,S002,603,792,0.7865354361660603,191.39309692382812
O01,S002,602,792,0.7902540880122921,196.13963317871094
O01,S002,601,792,0.794747594356404,200.74124145507812
O01,S002,601,793,0.7965634423818155,219.02490234375
O01,S002,600,793,0.7992411007005157,227.8592071533203
O01,S002,599,793,0.8037346070446275,223.16085815429688
O01,S002,599,794,0.8065914485975708,234.1239776611328
O01,S002,598,794,0.8082281133887393,233.59640502929688
O01,S002,597,794,0.8127216197328511,246.04269409179688
O01,S002,597,795,0.816619454813326,239.55824279785156
O01,S002,596,795,0.8172151260769629,246.07225036621094
O01,S002,595,795,0.8217086324210746,251.99119567871094
O01,S002,594,795,0.8262021387651864,258.3594665527344
O01,S002,594,796,0.8266474610290813,246.0419158935547
O01,S002,593,796,0.8306956451092982,253.0184783935547
O01,S002,592,796,0.83518915145341,252.2349853515625
O01,S002,592,797,0.8366754672448364,254.32000732421875
O01,S002,591,797,0.8396826577975218,258.9542541503906
O01,S002,590,797,0.8441761641416335,247.1585693359375
O01,S002,590,798,0.8467034734605917,257.12335205078125
O01,S002,589,798,0.8486696704857454,240.94290161132812
O01,S002,588,798,0.8531631768298571,222.45790100097656
O01,S002,588,799,0.8567314796763469,216.60614013671875
O01,S002,587,799,0.8576566831739689,198.48876953125
O01,S002,586,799,0.8621501895180806,197.1254119873047
O01,S002,585,799,0.8666436958621925,204.64833068847656
O01,S002,585,800,0.8667594858921022,217.1674346923828
O01,S002,584,800,0.8711372022063043,207.12196350097656
O01,S002,583,800,0.875630708550416,213.232666015625
O01,S002,583,801,0.8767874921078573,212.50003051757812
O01,S002,582,801,0.8801242148945279,222.31893920898438
O01,S002,581,801,0.8846177212386396,226.73635864257812
O01,S002,581,802,0.8868154983236126,242.99264526367188
O01,S002,580,802,0.8891112275827514,238.7548065185547
O01,S002,579,802,0.8936047339268632,227.3189239501953
O01,S002,579,803,0.8968435045393679,237.76153564453125
O01,S002,578,803,0.898098240270975,235.07884216308594
O01,S002,577,803,0.9025917466150868,242.83851623535156
O01,S002,577,804,0.9068715107551231,254.46148681640625
